dataset_label,frag_id,frag_size_char,frag_size_num,sample_design,N,N_std,S_obs,n_base,coverage,cov_base,S_std_mean,S_n_mean,S_PIE_mean,S_cov_mean,S_chao_mean,S_std_sd,S_n_sd,S_PIE_sd,S_cov_sd,S_chao_sd,exp_S_std_mean,exp_S_n_mean,exp_S_PIE_mean,exp_S_cov_mean,exp_S_chao_mean,exp_S_std_sd,exp_S_n_sd,exp_S_PIE_sd,exp_S_cov_sd,exp_S_chao_sd,z_S_std,z_S_n,z_S_PIE,z_S_cov,z_S_chao
Kappes_2009,Wass,43,43,standardized_subsamples,38,38,7,14,0.9487534626038782,0.31448463625579803,6.055,4.620080111775782,3.569375487942787,1.09126,6.855043859649123,0.8459035192142751,0.563552641364577,0.7065204216335557,0.25386480475929973,1.736752732333322,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,-2.343594254890627,-2.6857019184364943,-1.6271590125838262,-1.721797867472303,-1.1560506385700644
Kappes_2009,Wick,51,51,standardized_subsamples,106,106,21,14,0.8778952148961645,0.31448463625579803,15.69,5.5359377727833206,3.63208836869639,1.047045,23.083075864779875,1.7142324710563968,0.4486486636688456,0.4585773599681073,0.18672034008647811,7.827127801880383,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,5.720880975777653,-1.593438981811133,-1.6023041981864345,-1.7801164472299353,2.008647181496948
Kappes_2009,Gremb,53,53,standardized_subsamples,51.666666666666664,51.666666666666664,20.333333333333332,14,0.6472435939032303,0.31448463625579803,14.351666666666667,7.276885639491593,6.444404211721485,2.1777583333333332,23.32196619975209,1.721097737226105,0.7015505196615553,1.8837281632407723,0.7185483302889635,10.676661144364518,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,4.600698721803145,0.482836525138832,-0.48770720526776085,-0.2887312676976781,2.0552342058559474
Kappes_2009,Friesh,59,59,standardized_subsamples,33,33,22,14,0.458307210031348,0.31448463625579803,15.2,9.288229133368302,13.472704984566404,4.50865,24.726248196248196,1.5627575164677283,0.731429405280766,3.996089799822003,1.2127917449351782,11.847730674680003,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,5.3107519811717925,2.8815891312667907,2.2977988843734782,2.7856618470575296,2.3290892347137593
Kappes_2009,Ham_AWZ_Soph,67,67,standardized_subsamples,98,98,12,14,0.9491891212337091,0.31448463625579803,10.005,5.7470534053996545,5.342266871147202,1.79967,12.32483418367347,1.1095632714119243,0.3442283123975451,0.5194110621181335,0.10043568956647565,3.407333220570907,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,0.9625476404015074,-1.3416599219566128,-0.9245141054010325,-0.7874211834034435,-0.08936346977531578
Kappes_2009,Marienhz,103,103,standardized_subsamples,18,18,14,14,0.3398058252427185,0.31448463625579803,9.65,8.415357843137253,11.478191939233435,3.65667,17.075773148148148,1.298433536320287,0.9941558841070582,4.234054134634981,1.28167585060738,7.829708194710072,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,0.6654133687993027,1.8405922609508396,1.507319305709256,1.661919597099191,0.8371374256746559
Kappes_2009,Soph_Alt2,126,126,standardized_subsamples,71,71,22,14,0.7899327784891166,0.31448463625579803,16.415,7.369974277009335,7.381864852708196,2.453245,25.01299882629108,1.8356533211851003,0.5533268247237298,1.1367467306341776,0.4700128994006601,8.996774172134959,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,6.327704488204689,0.593855161451517,-0.1161661445384464,0.07462938235692741,2.385009699592843
Kappes_2009,Ham_Morsch,144,144,standardized_subsamples,52,52,14.5,14,0.831871523795096,0.31448463625579803,11.149999999999999,6.446737354459017,5.737044331668639,1.8423525,15.598798815054476,1.4435045808147584,0.5937264902650917,1.1228779051168887,0.4693599416933352,5.69239679909771,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,1.9209102910621365,-0.5072083718451386,-0.7680530978436612,-0.7311239363039262,0.5491063538380551
Kappes_2009,NÃƒÂ¶rv,201,201,standardized_subsamples,77,77,26,14,0.807224025974026,0.31448463625579803,19.61,7.968022946541832,7.682500933590439,2.662645,27.839606397931075,1.8150404566555762,0.539293531209242,1.5093350554086975,0.5832736060138173,9.95628514316351,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,9.001912932624528,1.3070952464990548,0.0029840826827473967,0.3508232215800032,2.9362385126322663
Kappes_2009,Ham_KFZ,264,264,standardized_subsamples,48,48,16,14,0.8142564402810304,0.31448463625579803,12.56,7.443985898132678,7.9037183480656195,2.57949,18.29930964781746,1.5059012894168518,0.6554695293631703,1.5781006235713084,0.5824621625082343,6.914484928704978,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,3.1010773979892035,0.6821223170089146,0.09065853986251304,0.24114366713590152,1.0757445033567592
Kappes_2009,Vill_KÃƒÂ¶n,357,357,standardized_subsamples,69.5,69.5,14,14,0.8773051008752075,0.31448463625579803,10.780000000000001,5.689538167775975,4.628072542828357,1.4896699999999998,15.820026071872412,1.4268000243024954,0.49345133998306456,0.6592060245279241,0.3383735960690093,6.072897440625084,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,1.6112210502373059,-1.4102532907978311,-1.2075686750639796,-1.1963041354528874,0.5922488258993485
Kappes_2009,Vil_Mett,699,699,standardized_subsamples,49,49,18,14,0.7567909922589726,0.31448463625579803,13.42,7.139724262385682,5.814068763009093,1.95889,20.850379008746355,1.614507096865525,0.6664065399620002,1.4633083436042265,0.5519514925704556,9.974031922452312,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,3.8208956334198954,0.3192562059171013,-0.7375262280518977,-0.5774136233217907,1.5732394332915103
Kappes_2009,Ville_b,1185,1185,standardized_subsamples,37.666666666666664,37.666666666666664,10.333333333333334,14,0.5532987280402895,0.31448463625579803,7.476666666666667,5.749676443025676,6.089479088547862,1.7914916666666667,11.276303562074386,1.1808619838197567,1.035374662358581,2.351208073650316,0.6459267704439023,4.528936799728677,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,-1.153662171901517,-1.3385316555214934,-0.628373651386089,-0.7982082191330491,-0.2938419038453869
Kappes_2009,Heimerzh,2265,2265,standardized_subsamples,51.8,51.8,16.4,14,0.7947817429494318,0.31448463625579803,12.353,6.785952300578119,7.413477938406834,2.398563,18.157535370238037,1.4498059787679143,0.5671130562235529,1.417475015816173,0.5393789683493402,6.663437361171944,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,2.9278188227169313,-0.1026565195543995,-0.1036370218426538,0.0025050675699347653,1.0480964960657138
Kappes_2009,Ham,4996,4996,standardized_subsamples,34.4,34.4,16.8,14,0.6440778482780881,0.31448463625579803,12.34,7.931801613457143,8.923781898667391,2.950717,19.04492354253242,1.484860074948899,0.7610337973790287,2.575158624661958,0.836849427934275,7.467845089737905,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,2.9169378493906537,1.2638972460586326,0.49493737252154263,0.7307836401696398,1.2211498529684726
Kappes_2009,Koen,6000,6000,standardized_subsamples,30,30,11.75,14,0.6623117596576078,0.31448463625579803,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,8.855,6.872029340028662,7.674971590645047,2.39666375,12.783074853101002,1.194746059031739,0.8384955950598837,2.5231683387739903,0.7581631820211319,5.127829868062134,0,0,0,0,0
Klein_1989,1ha forest fragment,1,1,standardized_fragment,934,934,38,1381,0.9914507251248917,0.9960357471468806,33.965,35.76343210641924,4.784724029998326,36.30888,39.63135431643214,1.7887911754441137,2.354247385484836,0.23764056042815335,5.102846691542568,7.747535181722319,41.69,41.69,13.37565068961358,40.697155,44.37535171200993,1.245655767640999,1.245655767640999,0.5546061107556118,1.5044280006102317,3.474715581166666,-6.201552789041762,-4.7577894692402785,-15.490140647586303,-2.9169059590887776,-1.365290851801158
Klein_1989,10ha forest fragment,10,10,standardized_fragment,748,748,40,1381,0.9906524370623477,0.9960357471468806,36.885,38.94138380779072,7.947382283593209,38.91335,41.50811466291062,1.3969726780852167,2.4126544753460246,0.507693310416292,4.935774767987445,7.191205379542885,41.69,41.69,13.37565068961358,40.697155,44.37535171200993,1.245655767640999,1.245655767640999,0.5546061107556118,1.5044280006102317,3.474715581166666,-3.8574059742842315,-2.206561606835055,-9.78761016286809,-1.18570313718998,-0.8251717247420317
Klein_1989,continuous forest,continuous,100,standardized_fragment,1381,1381,44,1381,0.9963804843268677,0.9960357471468806,41.69,41.69,13.37565068961358,40.697155,44.37535171200993,1.245655767640999,1.245655767640999,0.5546061107556118,1.5044280006102317,3.474715581166666,41.69,41.69,13.37565068961358,40.697155,44.37535171200993,1.245655767640999,1.245655767640999,0.5546061107556118,1.5044280006102317,3.474715581166666,0,0,0,0,0
Knapp_2015_a,isl13_s1,0.0052,0.0052,standardized_fragment,128,128,33,70,0.8680431718821905,0.8569966611373665,25.445,19.964728821110537,7.216367477771497,19.263705,33.62647307195842,2.118825644207839,1.5002001183013993,1.1343167676965618,2.515049713880713,8.798854242403065,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,11.672102435702504,3.3846158173607366,-0.5294869373723099,4.350471350378644,4.160616589231046
Knapp_2015_a,isl12_s1,0.0066,0.0066,standardized_fragment,148,148,18,70,0.9257674907767558,0.8569966611373665,13.845,10.511003294065802,3.199725089646583,6.064105,20.115894425675677,1.6168009234691367,1.1112768044762587,0.33176664122503924,1.198651035749151,7.522215636542044,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,1.9905587636146207,-1.3304157166344819,-2.2892330144891786,-2.3279976337356962,1.184324207958486
Knapp_2015_a,isl5_s1,0.0096,0.0096,standardized_fragment,342,342,42,70,0.9328341759360411,0.8569966611373665,33.14,16.385392840678037,5.517412768577533,14.78897,44.83486096607259,2.2417688636857624,0.8690862980995135,0.3663933523610644,1.7549870589223515,10.910701448828624,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,18.094471276798735,1.5994273252448001,-1.2738222791349607,2.086434643991262,6.62975135902701
Knapp_2015_a,isl2_s1,0.0098,0.0098,standardized_fragment,201,201,40,70,0.9006961201974161,0.8569966611373665,31.89,20.746144801034593,5.520294454899675,21.379315,41.214427465845375,2.1473133851092503,1.1909354583722764,0.7195161486621967,2.259967331060852,8.70841639125007,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,17.051201484547885,3.7743458741483544,-1.2725597728645834,5.420885284701057,5.832193465635453
Knapp_2015_a,isl6_s1,0.0126,0.0126,standardized_fragment,163,163,34,70,0.8963079444530575,0.8569966611373665,26.57,18.152942371899574,4.678090885590499,18.072455,35.51847027282533,2.1722553872269907,1.432460681349417,0.5642402979313204,2.5524603832410553,8.472268141254006,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,12.611045248728269,2.480990022804231,-1.6415406987262753,3.747746557405659,4.57741123598576
Knapp_2015_a,isl7_s1,0.0136,0.0136,standardized_fragment,283,283,32,70,0.9576722223959473,0.8569966611373665,26.905,17.31745349325726,5.607242905413508,15.140015,33.3045496171967,1.8089601110630067,0.8456018891590626,0.48294607357055136,1.2691684947695392,7.843890029010768,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,12.890641553051497,2.06429118827267,-1.2344664650920347,2.2640493553861845,4.089698951219748
Knapp_2015_a,isl14_s1,0.04,0.04,standardized_fragment,237,237,29,70,0.9454676215712172,0.8569966611373665,22.99,13.069177045594309,3.7367863332846416,8.86518,31.15164529258833,1.9387350173081115,1.048662757770111,0.27295186219965595,1.8953938129398473,9.557577449093792,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,9.623120563721834,-0.05453036610364846,-2.053939123388065,-0.9107658608275718,3.6154281663260446
Knapp_2015_a,isl3_s1,0.1177,0.1177,standardized_fragment,376,376,31,70,0.9548439005203316,0.8569966611373665,24.1,11.133165604372058,2.054960162988233,6.164055,32.50275535081054,2.1940989840385035,0.8360632193536316,0.13255462077288266,1.310912943602098,8.594555007767262,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,10.549544139240592,-1.0201131905070553,-2.7907702175182076,-2.27742693652046,3.91306890236172
Knapp_2015_a,isl10_s1,0.29,0.29,standardized_fragment,35,35,12,70,0.7747412008281573,0.8569966611373665,8.9,11.137168372343352,3.93102524463762,8.12276,13.801585714285714,1.314778770774917,2.4227630419932025,1.0275830680790876,2.5146059008486628,5.687482280494391,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,-2.13661653452974,-1.0181168159398095,-1.9688403943382966,-1.2864006484867565,-0.20667682928306946
Knapp_2015_a,isl9_s1,0.2958,0.2958,standardized_fragment,149,149,16,70,0.9601799674145379,0.8569966611373665,13.11,9.962691451312311,2.6841897421045946,5.22603,17.142272770853307,1.476073836178003,1.093285926454459,0.27736693723729755,1.2314002852086972,4.743043799155274,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,1.3771161257711202,-1.6038854320022293,-2.515096115504653,-2.7520300206157247,0.5292547466316029
Knapp_2015_a,isl8_s1,0.3038,0.3038,standardized_fragment,269,269,24,70,0.955528616238416,0.8569966611373665,18.64,10.134900208082747,2.952408757641007,4.598245,27.40465617808462,1.7566528244729074,0.9029674903099768,0.17921914512787115,1.1989384437637627,10.502726808356437,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,5.992541686688879,-1.5179965709093326,-2.3975856889369815,-3.0696640891626665,2.789990896303788
Knapp_2015_a,isl1_s1,0.3745,0.3745,standardized_fragment,50,50,20,70,0.7624242424242424,0.8569966611373665,15.225,17.009304864808357,8.518850984823802,14.61694,21.768506666666667,1.6178573211373706,2.1838922361287696,2.115222359226262,3.1938779749694532,7.472750895846797,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,3.142328614259558,1.9106025185373907,0.04114893721315581,1.999394353426609,1.5483839089404685
Knapp_2015_a,isl4_s1,0.8908,0.8908,standardized_fragment,36,36,14,70,0.8671827565270188,0.8569966611373665,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,11.46,13.178511439291638,8.424928021968022,10.665255,14.739774305555555,1.198156037186825,2.0050185155462255,2.282512483111028,1.9764410123633234,4.539398995641041,0,0,0,0,0
Knapp_2015_b,isl13_s1,0.0052,0.0052,standardized_fragment,75,75,25,106,0.787026419336706,0.8123486321274931,18.845,21.007068047034497,10.872802668451572,13.665445,28.56156216931217,1.713374817817648,2.3874573743942524,1.6406104785199325,1.9631960653306253,11.956995884669542,14.58,11.783173539196044,1.7274868712091433,3.009275,22.196085868001045,1.7082713352315753,1.246777622381012,0.14422431544421263,1.028327284670102,10.60636660937166,2.4966759741489373,7.398187409093275,63.41036023693193,10.362624972475187,0.6001561642878407
Knapp_2015_b,isl12_s1,0.0066,0.0066,standardized_fragment,53,53,20,106,0.8134729894540498,0.8123486321274931,15.705,18.656523278304448,10.86893628384333,12.72723,21.77046361185984,1.5426841452025415,2.854676152642379,2.031345831252003,1.9604080431323194,7.201498712042834,14.58,11.783173539196044,1.7274868712091433,3.009275,22.196085868001045,1.7082713352315753,1.246777622381012,0.14422431544421263,1.028327284670102,10.60636660937166,0.6585604855609742,5.51289148579852,63.38355210408462,9.450254938161658,-0.04012894064637855
Knapp_2015_b,isl5_s1,0.0096,0.0096,standardized_fragment,94,94,17,106,0.8938453109305087,0.8123486321274931,13.265,13.742585716455123,4.786716564749898,6.647985,18.67748869680851,1.4300349646075092,1.5504109406824496,0.6123153230348274,1.087819770938746,6.544319999941331,14.58,11.783173539196044,1.7274868712091433,3.009275,22.196085868001045,1.7082713352315753,1.246777622381012,0.14422431544421263,1.028327284670102,10.60636660937166,-0.7697840342334941,1.57158112407979,21.21160834855267,3.5384746220823424,-0.33174387618126877
Knapp_2015_b,isl2_s1,0.0098,0.0098,standardized_fragment,85,85,22,106,0.8954999232068807,0.8123486321274931,17.9,19.008663284235777,6.84900210212995,12.074135,23.263648039215685,1.6288849964495011,1.9538420432053247,1.1671568840175672,1.6782876972523941,7.101101623021506,14.58,11.783173539196044,1.7274868712091433,3.009275,22.196085868001045,1.7082713352315753,1.246777622381012,0.14422431544421263,1.028327284670102,10.60636660937166,1.9434851662777186,5.795331593488964,35.510761241240616,8.815150716250907,0.10065295784433419
Knapp_2015_b,isl6_s1,0.0126,0.0126,standardized_fragment,143,143,19,106,0.9375515788559267,0.8123486321274931,15.01,13.550927926374115,2.3636156779839843,5.554165,20.801677822177822,1.6071135835253707,1.3890577527025711,0.27518895364236623,1.1609581763401537,6.308939680009169,14.58,11.783173539196044,1.7274868712091433,3.009275,22.196085868001045,1.7082713352315753,1.246777622381012,0.14422431544421263,1.028327284670102,10.60636660937166,0.2517164522588611,1.4178586104249549,4.410690422177124,2.4747860315856807,-0.1314689654976795
Knapp_2015_b,isl7_s1,0.0136,0.0136,standardized_fragment,136,136,25,106,0.8974927167916693,0.8123486321274931,19.255,17.594737342779528,3.601745575136211,9.30117,27.58834887079832,1.6953898471054796,1.5333459835876975,0.531353537095181,1.5691528396785817,9.541762120690096,14.58,11.783173539196044,1.7274868712091433,3.009275,22.196085868001045,1.7082713352315753,1.246777622381012,0.14422431544421263,1.028327284670102,10.60636660937166,2.7366846844422703,4.661267333692555,12.995441844562258,6.118572456256964,0.5083987006476596
Knapp_2015_b,isl14_s1,0.04,0.04,standardized_fragment,122,122,26,106,0.8691228663173906,0.8123486321274931,19.725,18.77268072741706,5.874434503426179,10.450625,28.191392905932865,1.9694590232399114,1.8146643082858431,0.9039776007427899,1.720671022658335,9.181109177733688,14.58,11.783173539196044,1.7274868712091433,3.009275,22.196085868001045,1.7082713352315753,1.246777622381012,0.14422431544421263,1.028327284670102,10.60636660937166,3.0118166206321897,5.606057618256675,28.75345685950657,7.236363471953642,0.565255497828487
Knapp_2015_b,isl3_s1,0.1177,0.1177,standardized_fragment,90,90,12,106,0.9340740740740741,0.8123486321274931,9.565,10.040337613603947,2.115406322148518,3.549255,13.022155555555555,1.197054592945728,1.3052170331943185,0.27035958710102087,0.8465878423703274,4.196412887220981,14.58,11.783173539196044,1.7274868712091433,3.009275,22.196085868001045,1.7082713352315753,1.246777622381012,0.14422431544421263,1.028327284670102,10.60636660937166,-2.9357162978562545,-1.397872318452224,2.689695213630089,0.5251051956413187,-0.8649456171295752
Knapp_2015_b,isl10_s1,0.29,0.29,standardized_fragment,179,179,26,106,0.9051533086269521,0.8123486321274931,19.255,15.431260384295232,1.870732059023089,5.752525,28.350344029883832,1.8620718454960177,1.4066072667292646,0.16080547943429643,1.6602270019079686,10.088703973507625,14.58,11.783173539196044,1.7274868712091433,3.009275,22.196085868001045,1.7082713352315753,1.246777622381012,0.14422431544421263,1.028327284670102,10.60636660937166,2.7366846844422703,2.9260124497039954,0.9932110779846566,2.6676818177396346,0.5802418857033432
Knapp_2015_b,isl9_s1,0.2958,0.2958,standardized_fragment,96,96,26,106,0.8342059336823735,0.8123486321274931,19.535,20.23353728174542,7.465642151770001,12.054945,28.209597180886245,1.6130046247912588,1.7317067600353324,1.1148015281925248,1.917111138552696,10.318118364642757,14.58,11.783173539196044,1.7274868712091433,3.009275,22.196085868001045,1.7082713352315753,1.246777622381012,0.14422431544421263,1.028327284670102,10.60636660937166,2.9005930719596686,6.777763404520719,39.78632356747383,8.796489342303063,0.5669718513757324
